FORMATO DE REQUISICION,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,08-12.2016,,,
,35,0,0,08/12/2016,TIBOLONA 2.5MG C/30 TAB.,2658,,,
,50,0,0,08/12/2016,VITAMINA A + OXIDO ZINC + ACIDO BORICO + ALANTOINA POMADA TUBO C/60GR,418,,,
,20,0,0,08/12/2016,PROPRANOLOL 10MG C/50 TAB.,3029,,,
,200,0,0,08/12/2016,BROMURO PINAVERIO/DIMETICONA 100/300MG C/16 CAP.,1304,,,
,20,0,0,08/12/2016,MEBENDAZOL+ QUINFAMIDA 300MG/150MG C/2 TAB.,2601,,,
,200,0,0,08/12/2016,LEVOTIROXINA SODICA 25MCG C/50 TAB.,343,,,
,30,0,0,08/12/2016,CLARITROMICINA 250MG SUSP. PED. FCO. C/60ML GRANULOS,467,,,
,30,0,0,08/12/2016,GEMFIBROZILO 600MG C/14 TAB.,945,,,
,10,0,0,08/12/2016,DROPROPIZINA 30MG C/15 TAB. ,2413,,,
,50,0,0,08/12/2016,METOTREXATO 2.5MG C/50 TAB.,2504,,,
,30,0,0,08/12/2016,ACICLOVIR 200MG/5ML FCO. C/120ML,501,,,
,120,0,0,08/12/2016,DIFENHIDRAMINA + GUAIFENESINA 28MG JARABE FCO C/150ML,114,,,
,60,0,0,08/12/2016,MONTELUKAST SODICO 5MG C/20 COMP.,779,,,
,200,0,0,08/12/2016,CINITAPRIDA 1MG C/25 COMP.,2788,,,
,10,0,0,08/12/2016,PERMETRINA EMULSION C/120 APLICACIONES,2481,,,
,80,0,0,08/12/2016,GABAPENTINA 300MG C/30 CAP.,2643,,,
,15,0,0,08/12/2016,ONDANSETRON 8MG C/10 TAB.,2843,,,
,200,0,0,08/12/2016,INDOMETACINA + METOCARBAMOL + BETAMETASONA 25/215/75MG C/20 TAB.,2660,,,
,25,0,0,08/12/2016,CEFUROXIMA 250MG/5ML SUSP. C/50ML,2615,,,
,100,0,0,08/12/2016,MUPIROCINA UNG?ENTO 2% TUBO C/15GR,2657,,,
,90,0,0,08/12/2016,VITAMINAS + MINERALES PRENATALES C/30 TAB.,1678,,,
,200,0,0,08/12/2016,TAMSULOSINA 0.4MG C/20 CAP.,2603,,,
,20,0,0,08/12/2016,CITRATO DE TAMOXIFENO 20MG C/15 TAB.,625,,,
,350,0,0,08/12/2016,ATORVASTATINA 40MG C/10 TAB.,2763,,,
,100,0,0,08/12/2016,DESLORATADINA 50MG JARABE FCO C/120ML,69,,,
,100,0,0,08/12/2016,FEXOFENADINA 180MG C/10 COMP.,2844,,,
,40,0,0,08/12/2016,KETOCONAZOL POLVO TALCO FCO. C/60GR,191,,,
,25,0,0,08/12/2016,LATANOPROST 0.005% SOL. OFT. FCO. C/2.5ML,2862,,,
,20,0,0,08/12/2016,SUCRALFATO 1GR C/40 TAB.,2653,,,
,50,0,0,08/12/2016,DILTIAZEM 30MG C/30 COMPS.,2857,,,
,200,0,0,08/12/2016,MAGALDRATO + DIMETICONA 8GR/1GR C/250ML,2591,,,
,100,0,0,08/12/2016,MONTELUKAST 4MG C/10 SOBRES,1641,,,
,400,0,0,08/12/2016,AMOXICILINA + ACIDO CLAVULANICO 875MG/125MG C/10 TAB.,1452,,,
,50,0,0,08/12/2016,AZITROMICINA 600MG FCO. SUSP. C/15ML,1855,,,
,39,0,0,08/12/2016,CIPROFLOXACINO SOL. OFT. GOTAS C/5ML,1493,,,
,250,0,0,08/12/2016,CITRATO DE CALCIO + VITAMINA D3 315MG C/60 TAB.,1361,,,
,80,0,0,08/12/2016,OXCARBAZEPINA 300MG C/20 GRAGEAS,833,,,
,35,0,0,08/12/2016,CLARITROMICINA 500MG C/10 TAB.,2092,,,
,10,0,0,08/12/2016,ESTOLATO DE ERITROMICINA 500MG C/20 TAB.,1905,,,
,110,0,0,08/12/2016,CITRATO DE SILDENAFIL 50MG C/4 TAB.,2790,,,
,100,0,0,08/12/2016,CLORURO DE SODIO Y GLICEROL 30ML ADTO. SOL. FCO C/30ML,2754,,,
,50,0,0,08/12/2016,GABAPENTINA 400MG C/15 CAP.,148,,,
,25,0,0,08/12/2016,CETIRIZINA SOL. FCO. C/50ML,885,,,
,10,0,0,08/12/2016,ATENOLOL 100MG C/28 TAB.,849,,,
,50,0,0,08/12/2016,TIAMINA + PIRIDOXINA + CIANOCOBALAMINA Y DICLOFENACO SODICO No1 - 3 Y No - 3 C/JGA AMP.,2803,,,
,100,0,0,08/12/2016,FEXOFENADINA 120MG C/10 COMP.,93,,,
,10,0,0,08/12/2016,LIDOCAINA + HIDROCORTISONA + SUBACETATO C/12 SUP.,896,,,
,110,0,0,08/12/2016,CLORHIDRATO DE BENCIDAMINA TUBO CREMA C/60GR,57,,,
,35,0,0,08/12/2016,NITROFURANTOINA 100MG C/40 CAP.,546,,,
,280,0,0,08/12/2016,ACIDO FOLICO 5MG C/50 TAB.,52,,,
,410,0,0,08/12/2016,LORATADINA + BETAMETASONA 5.0MG/0.25MG C/10 TAB.,1440,,,
,220,0,0,08/12/2016,METACARBAMOL + PARACETAMOL 400/350MG C/30 TAB.,201,,,
,15,0,0,08/12/2016,ACIDO ASCORBICO + VITAMINA + VITAMINA C 1GR C/10 TAB.,2772,,,
,100,0,0,08/12/2016,LACTULOSA 66.66GR JARABE FCO. C/125ML,1881,,,
,700,0,0,08/12/2016,ATORVASTATINA 20MG C/10 TAB.,2761,,,
,50,0,0,08/12/2016,DILTIAZEM 120MG LIB. PROL. C/20 TAB.,2817,,,
,270,0,0,08/12/2016,BEZAFIBRATO 400MG C/10 TAB.,1858,,,
,20,0,0,08/12/2016,FINASTERIDE 5MG C/30 GRAGEAS,2694,,,
,25,0,0,08/12/2016,PENTOXIFILINA 400MG C/30 GRAGEAS,669,,,
,100,0,0,08/12/2016,LEVOFLOXACINO 500MG C/7 TAB.,2621,,,
,220,0,0,08/12/2016,LORATADINA + BETAMETASONA 10MG/5MG SOL. C/60ML,2876,,,
,20,0,0,08/12/2016,RANITIDINA 150MG JARABE FCO. C/200ML,1494,,,
,200,0,0,08/12/2016,PSYLLIUM PLANTAGO C/400GR,674,,,
,40,0,0,08/12/2016,KETOCONAZOL 2/100ML SHAMPOO C/1,840,,,
,200,0,0,08/12/2016,DICLOFENACO POTASICO 0.18MG/100 SUSP. FCO C/120ML,2807,,,
,100,0,0,08/12/2016,CETIRIZINA 10MG C/10 TAB.,884,,,
,10,0,0,08/12/2016,AMOXICILINA/ACIDO CLAVULANICO 200MG/285MG/5ML FCO. C/40ML,1852,,,
,84,0,0,08/12/2016,DOXICICLINA 100MG C/10 CAP.,283,,,
,150,0,0,08/12/2016,DICLOFENACO POTASICO 15MG SUSP. GOTAS C/20ML,2611,,,
,71,0,0,08/12/2016,FENITOINA SODICA 100MG C/50 CAP.,2834,,,
,200,0,0,08/12/2016,ATORVASTATINA 10MG C/20 TAB.,2762,,,
,50,0,0,08/12/2016,TRIMEBUTINA 2GR/100ML SUSP. JUNIOR FCO C/100ML,218,,,
,67,0,0,08/12/2016,BIFONAZOL TUBO CREMA C/20GR,1271,,,
,200,0,0,08/12/2016,LORATADINA + FENILEFRINA 5/30MG C/10 GRAGEAS,2845,,,
,40,0,0,08/12/2016,CLOTRIMAZOL 20GR CREMA C/3 APLICADORES,334,,,
,100,0,0,08/12/2016,BENZONATATO 100MG C/20 PERLAS,2880,,,
,70,0,0,08/12/2016,POLIVITAMINAS CON MINERALES C/30 CAP.,886,,,
,32,0,0,08/12/2016,CLORHIDRATO DE BENCIDAMINA 45MG SOL. C/30ML,2668,,,
,67,0,0,08/12/2016,ACETONIDO DE FLUOCINOLONA + NISTATINA + METRONIDAZOL C/10 OVULOS,53,,,
,80,0,0,08/12/2016,SALBUTAMOL 100MCG SPRAY C/ 200 DOSIS,2696,,,
,300,0,0,08/12/2016,PARACETAMOL 750MG C/10 TAB.,2582,,,
,32,0,0,08/12/2016,PANCREATINA+ESTRACTO SECO BILIS BUEY+DIMETILPOLISILOXANO 130/50/40/MG C/30 GRAGEAS,3014,,,
,80,0,0,08/12/2016,CLINDAMICINA 300MG C/16 CAP.,2680,,,
,550,0,0,08/12/2016,IBUPROFENO + PARACETAMOL 325MG C/20 TAB.,2608,,,
,450,0,0,08/12/2016,CEFALEXINA 500MG C/20 CAP.,169,,,
,25,0,0,08/12/2016,BETAMETASONA TUBO C/30GR,2784,,,
,80,0,0,08/12/2016,RAMIPRIL 2.5MG C/16 TAB.,1928,,,
,100,0,0,08/12/2016,CLORHIDRATO DE PAROXETINA 20MG C/10 TAB.,1877,,,
,50,0,0,08/12/2016,CEFALEXINA 250MG/5ML SUSP.,1483,,,
,100,0,0,08/12/2016,HIDROCLOROTIAZIDA 25MG C/20 TAB.,81,,,
,250,0,0,08/12/2016,LORATADINA + FENILEFRINA SOL. INF. C/60ML,2618,,,
,300,0,0,08/12/2016,DICLOFENACO SODICO + B1 + B6 +B12 50MG/50MG/50MG/0.25MG C/30 GRAGEAS,377,,,
,300,0,0,08/12/2016,KETOROLACO + TRAMADOL 10MG/25MG C/10 CAP.,2796,,,
,85,0,0,08/12/2016,ITRACONAZOL 100MG C/15 CAP.,443,,,
,100,0,0,08/12/2016,FLUOXETINA 20MG C/14 CAP.,2570,,,
,750,0,0,08/12/2016,DICLOFENACO 1.160% GEL C/60GR,371,,,
,150,0,0,08/12/2016,KETOROLACO 30MG SUBLINGUAL C/4 TAB.,1431,,,
,80,0,0,08/12/2016,KETOPROFENO 100MG C/15 CAP.,463,,,
,53,0,0,08/12/2016,NAPROXENO SODICO + PARACETAMOL 125MG/100MG SUSP. FCO.  C/80ML,1912,,,
,100,0,0,08/12/2016,ALENDRONATO SODICO 70MG C/4 TAB.,1945,,,
,43,0,0,08/12/2016,LEVONORGESTREL + ETINILESTRADIOL 0.15MG/.03MG C/21 GRAGEAS,2693,,,
,25,0,0,08/12/2016,PREDNISONA 20MG C/30 TAB.,642,,,
,1000,0,0,08/12/2016,PANTOPRAZOL 40MG C/14 GRAGEAS,1479,,,
,30,0,0,08/12/2016,TIAMAZOL 5MG C/20 TAB.,1098,,,
,15,0,0,08/12/2016,FURAZOLIDONA + CAOLIN Y PECTINA SUSP. C/120ML,2835,,,
,300,0,0,08/12/2016,MELOXICAN + METOCARBAMOL 15MG/215MG C/10 CAP.,2801,,,
,35,0,0,08/12/2016,METFORMINA + GLIBENCLAMIDA 500MG/5MG C/60 TAB.,1867,,,
,250,0,0,08/12/2016,LORATADINA + AMBROXOL 5MG/30MG/5ML JBE. C/120ML,376,,,
,10,0,0,08/12/2016,CLONIXINATO DE LISINA 250MG C/10 TAB.,1499,,,
,100,0,0,08/12/2016,AMANTADINA + CLORFENAMINA + PARACETAMOL FCO. C/60ML,30,,,
,80,0,0,08/12/2016,NIFEDIPINO 30MG LIB. PROL. C/30 TAB.,2682,,,
,10,0,0,08/12/2016,FLUCONAZOL 100MG C/10 CAP.,361,,,
,32,0,0,08/12/2016,CLORANFENICOL + HIDROCORTISONA + BENZOCAINA SOL. OTICA FCO. C/10ML,2794,,,
,100,0,0,08/12/2016,TRIMETOPRIMA + SULFAMETOXAZOL 160MG/800MG C/14 TAB.,1920,,,
,100,0,0,08/12/2016,DEXTROMETORFANO + GUAIFENESINA + FENILEF PED. C/30ML,2815,,,
,35,0,0,08/12/2016,ACIDO RETINOICO TUBO CREMA C/20GR,1432,,,
,50,0,0,08/12/2016,ATENOLOL 50MG C/28 TAB.,2782,,,
,200,0,0,08/12/2016,AZITROMICINA 500MG C/3 TAB.,1854,,,
,20,0,0,08/12/2016,CISAPRIDA 10MG C/30 TAB.,177,,,
,33,0,0,08/12/2016,CALAMINA LOCION FCO. 180ML,160,,,
,40,0,0,08/12/2016,HIDROCORTISONA CREMA C/30GR,1523,,,
,40,0,0,08/12/2016,AMPICILINA 500MG C/20 CAP.,2565,,,
,32,0,0,08/12/2016,DICLOXACILINA 250MG SUSP. FCO. C/60ML,1509,,,
,50,0,0,08/12/2016,NAPROXENO 500MG C/12 TAB.,627,,,
,100,0,0,08/12/2016,GLIMEPIRIDA 4MG C/30 TAB.,1420,,,
,300,0,0,08/12/2016,IBUPROFENO 2GR/100ML SUSP. 120ML,55,,,
,80,0,0,08/12/2016,DICLOXACILINA 500MG C/20 CAP.,1510,,,
,150,0,0,08/12/2016,BROMURO DE BUTILHIOSCINA 10MG C/10 TAB.,131,,,
,50,0,0,08/12/2016,OXIMETAZOLINA 25MG SOL. NASAL FCO. NEB. C/20ML,231,,,
,50,0,0,08/12/2016,OXIMETAZOLINA 50MG SOL. NASAL FCO. NEB. C/20ML,230,,,
,500,0,0,08/12/2016,AMANTADINA + CLORFENAMINA + PARACETAMOL 50MG/3MG/300MG C/15 TAB.,2664,,,
,50,0,0,08/12/2016,CLORFENAMINA I 50MG JBE. FCO. C/60ML,1503,,,
,25,0,0,08/12/2016,DOMPERIDONA 10MG C/30 TAB.,2649,,,
,30,0,0,08/12/2016,LIDOCAINA + HIDROCORTISONA TUBO UNG. C/20GR y APLICADOR,2808,,,
,150,0,0,08/12/2016,SENOSIDOS A-B 374MG C/30 TAB.,789,,,
,150,0,0,08/12/2016,PARACETAMOL JARABE FCO. C/120ML,2691,,,
,400,0,0,08/12/2016,DEXTROMETORFANO + GUAIFENESINA JARABE INFANTIL C/120ML,1886,,,
,15,0,0,08/12/2016,NIFEDIPINO 10MG C/20 CAP.,2875,,,
,43,0,0,08/12/2016,CLORANFENICOL 5MG/ML GOTAS OFT. C/15ML ,2726,,,
,25,0,0,08/12/2016,CLORHIDRATO DE BROMHEXINA JARABE C/100ML,1874,,,
,10,0,0,08/12/2016,ACICLOVIR TUBO CREMA C/5GR,2607,,,
,100,0,0,08/12/2016,BETAMETASONA + CLOTRIMAZOL + GENTAMICINA TUBO CREMA C/25GR,2568,,,
,20,0,0,08/12/2016,AMOXICILINA 250MG SUSP. C/75ML,24,,,
,41,0,0,08/12/2016,AMOXICILINA 500MG SUSP. C/75ML ,2945,,,
,500,0,0,08/12/2016,ACIDO ACETILSALICILICO 100MG C/30 TAB.,2769,,,
,40,0,0,08/12/2016,CLOTRIMAZOL 10MG TUBO CREMA C/20GR,1505,,,
,35,0,0,08/12/2016,INDOMETACINA 25MG C/30 CAP.,437,,,
,70,0,0,08/12/2016,HIERRO ACIDO FOLICO C/30 GRAGEAS,2823,,,
,300,0,0,08/12/2016,METFORMINA 500MG C/30 TAB.,310,,,
,10,0,0,08/12/2016,MECLIZINA + PIRIDOXINA + LIDOCAINA C/1 AMP.,2841,,,
,100,0,0,08/12/2016,BROMURO DE BUTILHIOSCINA + METAMIZOL 10MG/250MG C/10 GRAGEAS,2587,,,
,32,0,0,08/12/2016,ACIDO MEFENAMICO 500MG C/20 TAB.,2773,,,
,45,0,0,08/12/2016,METFORMINA + GLIBENCLAMIDA 500MG/2.5MG C/30 TAB.,2616,,,
,300,0,0,08/12/2016,NAPROXENO SODICO + PARACETAMOL 275MG/300MG C/10 TAB.,2647,,,
,200,0,0,08/12/2016,FLUCONAZOL 150MG C/1 CAP.,373,,,
,200,0,0,08/12/2016,DICLOFENACO SODICO 100MG LIB. PROL. C/20 GRAGEAS,292,,,
,200,0,0,08/12/2016,LOSARTAN 50MG C/30 TAB.,2602,,,
,30,0,0,08/12/2016,NAPROXENO 250MG C /30 TAB.,643,,,
,95,0,0,08/12/2016,ENALAPRIL 5MG C/30 TAB.,1513,,,
,300,0,0,08/12/2016,METFORMINA 850MG C/30 TAB.,1897,,,
,363,0,0,08/12/2016,LORATADINA 10MG C/20 GRAGEAS,496,,,
,155,0,0,08/12/2016,PREDNISONA 5MG C/20 TAB.,1490,,,
,150,0,0,08/12/2016,LORATADINA 5MG/5ML SOL. C/60ML,1885,,,
,40,0,0,08/12/2016,BENCILPENICILINA BENZATANICA 12000000 UI SOL INY,128,,,
,80,0,0,08/12/2016,NIMESULIDE 100MG C/10 TAB.,628,,,
,20,0,0,08/12/2016,MALEATO DE CLORFENAMINA 4MG C/20 TAB.,1889,,,
,62,0,0,08/12/2016,DICLOFENACO SODICO 75MG/3ML SOL. INY. ENV. C/2 AMP.,295,,,
,100,0,0,08/12/2016,DEXTROMETORFANO 15MG/5ML JARABE FCO. C/60ML,269,,,
,100,0,0,08/12/2016,AMBROXOL 30MG C/20 COMP.,1450,,,
,179,0,0,08/12/2016,RANITIDINA 150MG C/20 TAB.,2630,,,
,117,0,0,08/12/2016,DIFENIDOL 25MG C/30 TAB.,2659,,,
,200,0,0,08/12/2016,"PENICILINA PROCAINICA + BENCILPENICILINA 800,000UI + 1 AMP. DILUYENTE C/2ML",687,,,
,1700,0,0,08/12/2016,OMEPRAZOL 20MG C/14 CAP.,657,,,
,26,0,0,08/12/2016,ALBENDAZOL 20MG/ML SUSP. ORAL C/20ML,95,,,
,61,0,0,08/12/2016,FUROSEMIDA 40MG C/20 TAB.,369,,,
,600,0,0,08/12/2016,IBUPROFENO 400MG C/10 TAB.,2678,,,
,113,0,0,08/12/2016,AMIKACINA 500MG C/1X2ML AMP.,2604,,,
,200,0,0,08/12/2016,IBUPROFENO 200MG C/10 TAB.,2802,,,
,141,0,0,08/12/2016,RANITIDINA 300MG C/10 COMP.,2663,,,
,250,0,0,08/12/2016,TIAMINA + PIRIDOXINA + CIANOCOBALAMINA 100MG/5MG/50MCG C/30 TAB.,2797,,,
,25,0,0,08/12/2016,METRONIDAZOL 500MG C/30 COMP.,2865,,,
,400,0,0,08/12/2016,KETOROLACO TROMETAMINA 10MG C/10 TAB.,2692,,,
,58,0,0,08/12/2016,GLIBENCLAMIDA 5MG C/50 TAB.,1418,,,
,290,0,0,08/12/2016,ENALAPRIL 10MG C/30 TAB.,2679,,,
,93,0,0,08/12/2016,CAPTOPRIL 25MG C/30 TAB.,2569,,,
,133,0,0,08/12/2016,METOPROLOL 100MG C/20 TAB.,2627,,,
,25,0,0,08/12/2016,CLINDAMICINA 300MG C/2ML AMP.,238,,,
,400,0,0,08/12/2016,AMBROXOL SOL. ORAL FCO. C/120ML,22,,,
,450,0,0,08/12/2016,AMLODIPINO 5MG C/10 TAB.,2593,,,
,56,0,0,08/12/2016,METOCLOPRAMIDA 10MG C/20 TAB.,565,,,
,800,0,0,08/12/2016,PARACETAMOL 500MG C/10 TAB.,712,,,
