FORMATO DE REQUISICI?N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,27-sep-16,,,
,30,,,,PEROXIDO DE BENZOILO 5% TUBO GEL C/60GR,116,,,
,29,,,,TIBOLONA 2.5MG C/30 TAB.,2658,,,
,15,,,,ACICLOVIR 400MG C/35 COMP.,545,,,
,28,,,,KETOCONAZOL 2/100ML SHAMPOO C/1,840,,,
,28,,,,CISAPRIDA 10MG C/30 TAB.,177,,,
,15,,,,EMTRICITABINA + TENOFOVIR DISOPROXIL FUMARATO C/30 TAB.,854,,,
,28,,,,METOCLOPRAMIDA 10MG C/20 TAB.,565,,,
,65,,,,TRIAZOLAM 0.250MG C/30 TAB.,582,,,
,27,,,,EPINASTINA 0.05% SOL. FCO. GOTERO C/5ML,2427,,,
,30,,,,ETINILESTRADIOL + DROSPIRENONA 3MG 24/4 C/28 COMP.,2741,,,
,35,,,,OLANZAPINA 10MG C/14 TAB.,1548,,,
,27,,,,PERMETRINA EMULSION C/120 APLICACIONES,2481,,,
,27,,,,ATENOLOL 100MG C/28 TAB.,849,,,
,30,,,,SALMETEROL + FLUTICASONA 25/125 FCO.,2468,,,
,12,,,,DIAZEPAM + DEXTROPROPOXIFENO + PARACETAMOL C/20 TAB. (II),590,,,
,29,,,,DORZOLAMIDA + TIMOLOL GOTAS OFT. FCO. C/5ML,251,,,
,10,,,,MICOFENOLATO SODICO 360MG C/120 TAB.,2822,,,
,27,,,,EMOLIENTE Y HUMECTANTE CON UREA AL 10% LOCION FCO. C/120ML,648,,,
,30,,,,DIMETICONA GOTAS C/30ML,323,,,
,26,,,,NAPROXENO 250MG C /30 TAB.,643,,,
,3,,,,LEUPRORELINA 3.75MG C/1 AMP. DE 2ML,2821,,,
,3,,,,FILGRASTIM 300MCG C/1 JER. PRECARGADA DE 1ML,2869,,,
,3,,,,RITUXIMAB 500MG/50ML C/1,1193,,,
,20,,,,INSULINA ASPARTICA ADN RECOM 100UI/1ML 3ML C/5 CARTUCHO,1211,,,
,25,,,,MOXIFLOXACINO + DEXAMETASONA SOL. OFT. GOTAS FCO C/5ML,2923,,,
,25,,,,CEFIXIMA DE 200MG C/12 CAP.,1335,,,
,25,,,,CLINDAMICINA SOL. TOPICA FCO C/30ML,261,,,
,25,,,,ETOFENAMATO TUBO CREMA C/40GR,112,,,
,25,,,,CIPROFLOXACINO SOL. OFT. GOTAS C/5ML,1493,,,
,30,,,,DILTIAZEM 120MG LIB. PROL. C/20 TAB.,2817,,,
,20,,,,LEVODOPA + CARBIDOPA + ENTACAPONA 200MG/100MG/25MG C/30 TAB.,564,,,
,25,,,,BROMURO DE PIRIDOSTIGMINA 60MG C/20 TAB.,531,,,
,25,,,,PENTOXIFILINA 400MG C/30 GRAGEAS,669,,,
,15,,,,LEVONORGESTREL + ETINILESTRADIOL 0.15MG/.03MG C/21 GRAGEAS,2693,,,
,24,,,,NIMODIPINO 30MG C/30 TAB.,470,,,
,20,,,,AMANTADINA + CLORFENAMINA + PARACETAMOL + FENILEFRINA SOL. FCO. C/60ML,2780,,,
,24,,,,CLORFENAMINA I 50MG JBE. FCO. C/60ML,1503,,,
,8,,,,CARBONATO DE LITIO 300MG C/50 TAB.,243,,,
,24,,,,HIDROXOCABALAMINA TIAMINA PIRIDOXINA C/5 AMP. Y JER.,2861,,,
,12,,,,EFAVIRENZ 600MG C/30 COMP.,1571,,,
,24,,,,FLUNARIZINA 10MG C/20 TAB.,607,,,
,24,,,,VALPROATO DE MAGNESIO 400MG C/20 TAB.,71,,,
,24,,,,DEXAMETASONA 1MG/ML SOL. OFT. GOTAS C/5ML,2814,,,
,23,,,,MEBENDAZOL+ QUINFAMIDA 300MG/150MG C/2 TAB.,2601,,,
,20,,,,PREDNISONA 20MG C/30 TAB.,642,,,
,30,,,,CEFTIBUTEN 400MG C/10 CAP.,168,,,
,23,,,,BETAMETASONA + GENTAMICINA TUBO CREMA C/30GR,276,,,
,23,,,,AMOXICILINA 500MG SUSP. C/75ML ,2945,,,
,23,,,,MALEATO DE CLORFENAMINA 4MG C/20 TAB.,1889,,,
,22,,,,DICLOFENACO + COLESTIRAMINA 140MG C/20 CAP.,2548,,,
,22,,,,PANCREATINA+ESTRACTO SECO BILIS BUEY+DIMETILPOLISILOXANO 130/50/40/MG C/30 GRAGEAS,3014,,,
,22,,,,ACIDO RETINOICO TUBO CREMA C/20GR,1432,,,
,22,,,,TRAVOPROST 40MCG SOL. OFT. FCO. C/2.5ML,830,,,
,22,,,,RESINA DE COLESTIRAMINA 9GR C/10 SOBRES,722,,,
,6,,,,DIAZEPAM 10MG C/20 COMP. (II),598,,,
,4,,,,METILFENIDATO 18MG C/30 TAB.,253,,,
,22,,,,BUDESONIDA 0.250MG/ML NEBUL. C/5 AMP. SOBRE 2ML,719,,,
,22,,,,AMINOFENAZONA + BUFENINA + DIFENILPIRALI SOL. GOTAS C/25ML,362,,,
,2,,,,CLORHIDRATO DE METILFENIDATO 30MG C/30 CAP. (II),998,,,
,2,,,,METILFENIDATO 20MG C/30 CAP.,1779,,,
,22,,,,RANITIDINA 150MG JARABE FCO. C/200ML,1494,,,
,22,,,,DICLOXACILINA 250MG SUSP. FCO. C/60ML,1509,,,
,22,,,,INDOMETACINA 25MG C/30 CAP.,437,,,
,60,,,,EBASTINA 20MG C/30 OBLEAS,1053,,,
,22,,,,TRIMETOPRIMA + SULFAMETOXAZOL 80/400MG C/20 TAB.,852,,,
,21,,,,VALPROATO SEMISODICO 500MG LIB. RET. C/30 COMP.,337,,,
,21,,,,BUDESONIDA + FORMOTEROL 320MG/9MCG C/60 DOSIS (POLVO),802,,,
,12,,,,ALPRAZOLAM 1MG C/30 COMP. (II),1448,,,
,21,,,,"PANCREATINA + LIPASA + AMILASA + PROTEASA 10,000UI C/50 CAP.",193,,,
,21,,,,CLORANFENICOL + HIDROCORTISONA + BENZOCAINA SOL. OTICA FCO. C/10ML,2794,,,
,21,,,,ACIDO MEFENAMICO 500MG C/20 TAB.,2773,,,
,25,,,,AZILSARTAN MEDOXOMILO + CLORTALIDONA 40/12.5 C/28 TAB.,2944,,,
,4,,,,INFLIXIMAB F.A. 100MG C/20ML,736,,,
,25,,,,AZILSARTAN MEDOXOMILO 40MG C/28 TAB.,2946,,,
,21,,,,ENANTATO DE PRASTERONA + VALERATO DE ESTRADIOL 200MG/4MG C/1 JER. PRELLENADA DE 1ML,138,,,
,23,,,,OLANZAPINA 5MG C/14 TAB.,599,,,
,21,,,,CEFUROXIMA 250MG/5ML SUSP. C/50ML,2615,,,
,30,,,,ENOXAPARINA SODICA 60MG/0.4ML C/2 JER.S PRELLENADAS,2496,,,
,20,,,,HIDROCORTISONA 1GR/100ML FCO. LOCION C/120ML,624,,,
,20,,,,INSULINA HUMANA 70/30 CARTUCHO C/300U C/2X3ML,427,,,
,20,,,,PROPRANOLOL 40MG C/30 TAB.,783,,,
,20,,,,RIVASTIGMINA 4.6MG C/30 PARCHES,1746,,,
,20,,,,SALMETEROL + FLUTICASONA 50/100MCG SOL. INHAL C/60 DOSIS,2493,,,
,20,,,,FLUCONAZOL+ TINIDAZOL 37.5MG/500MG C/4 TAB.,1262,,,
,25,,,,VALPROATO SEMISODICO ER 500MG LIB. PROL. C/30 TAB.,2193,,,
,7,,,,FOSFATO MONOSODICO 12GR + CIDRATO DE SODI ENEMA EVACUANTE C/133ML,378,,,
,19,,,,BETAMETASONA LOCION CAPILAR FCO. C/50ML,120,,,
,19,,,,DIMENHIDRINATO JARABE FCO. C/120ML,284,,,
,21,,,,LATANOPROST 0.005% SOL. OFT. FCO. C/2.5ML,2862,,,
,19,,,,TERAZOSINA 5MG C/30 TAB.,9,,,
,19,,,,INDOMETACINA 50MG C/28 CAP.,525,,,
,20,,,,METRONIDAZOL .75% TUBO GEL C/30GR,567,,,
,20,,,,L-ORNITINA + L-ASPARTATO 3GR C/10 SOBRES GRANULADOS,432,,,
,19,,,,ETAMSILATO 500MG C/20 COMP.,272,,,
,1,,,,MIDAZOLAM 7.5 C/30 COMP. (II),312,,,
,20,,,,PIROXICAM 10MG C/20 CAP.,1079,,,
,19,,,,CALCITRIOL 0.25MCG C/50 CAP.,1862,,,
,25,,,,ENOXAPARINA SODICA 40MG/0.4ML C/2 JER.S PRELLENADAS,179,,,
,20,,,,ESTRADIOL + DROSPIRENONA 1MG/2MG C/28 COMPS. RECUB.,1375,,,
,18,,,,VALPROATO DE MAGNESIO 200MG C/40 TAB.,2838,,,
,18,,,,CALCIO 500MG ENV. C/12 COMP.,209,,,
,18,,,,CALAMINA LOCION FCO. 180ML,160,,,
,18,,,,MONTELUKAST SODICO 4MG C/10 TAB.,1143,,,
,25,,,,LIRAGLUTIDE 0.6MG FLEXPEN,2969,,,
,15,,,,ETANERCEPT 25MG FCO. C/4 AMP.,349,,,
,20,,,,CLONIXITATO DE LISINA + CICLOBENZAPRINA 125/5 C/20 TAB.,2307,,,
,18,,,,DILTIAZEM 90MG C/20 TAB.,28,,,
,17,,,,ESPIRONOLACTONA 100MG C/30 TAB.,2573,,,
,17,,,,DILTIAZEM 60MG C/30 COMPS.,82,,,
,19,,,,CITRATO DE TAMOXIFENO 20MG C/15 TAB.,625,,,
,6,,,,FLUVOXAMINA 100MG C/15 GRAGEAS,516,,,
,17,,,,TRIMEBUTINA 200MG C/20 TAB,3037,,,
,20,,,,NIFEDIPINO 10MG C/20 CAP.,2875,,,
,20,,,,VALPROATO DE MAGNESIO 600MG C/30 TAB.,38,,,
,10,,,,LOPINAVIR + RITONAVIR 200MG/50MG C/120 TAB.,1759,,,
,3,,,,FENOBARBITAL 100MG C/40 TAB. (II),579,,,
,17,,,,INDACATEROL 150MG C/30 CAP.,2918,,,
,8,,,,FINGOLIMOD 0.5MG C/28 CAP.,2925,,,
,20,,,,KETANSERINA + METRONIDAZOL + MICONAZOL 36MG C/10 OVULOS,2245,,,
,5,,,,TOCILIZUMAB 200MG/10ML SOL. INY. C/1 AMP.,2892,,,
,17,,,,CLINDAMICINA + PEROXIDO DE BENZOILO 5GR/100GR EN 100GR TUBO GEL C/30GR,449,,,
,16,,,,NICERGOLINA 30MG C/20 GRAGEAS,767,,,
,18,,,,AZATIOPRINA 50MG C/50 TAB.,51,,,
,16,,,,OXCARBAZEPINA 60MG/1ML SUSP. C/100ML,1033,,,
,15,,,,CLEBOPRIDA 500MG C/30 COMP.,2914,,,
,15,,,,KETANSERINA + BENZOCAINA 2% TUBO GEL C/78GR,798,,,
,20,,,,SILIMARINA 70MG C/20 COMP.,2151,,,
,15,,,,ERDOSTEINA 300MG C/20 CAP.,1820,,,
,15,,,,PROPRANOLOL 10MG C/50 TAB.,3029,,,
,15,,,,ALBENDAZOL 20MG/ML SUSP. ORAL C/20ML,95,,,
,15,,,,RIVAROXABAN 20MG C/28 COMP.,2937,,,
,15,,,,CARVEDILOL 25MG C/14 TAB.,2594,,,
,15,,,,TIZANIDINA 6MG LIB. PROL. C/10 CAP.,2979,,,
,15,,,,CLORMADINONA 5MG C/20 TAB.,494,,,
,20,,,,ALPRAZOLAM 0.50MG C/30 TAB. (II),2779,,,
,15,,,,MOMETASONA 1% UNGUENTO TOPICO TUBO C/30GR,319,,,
,15,,,,SOL. ESTERILIZANTE + ANTISEPTICA DE SUPEROXIDACION FCO. C/240ML,1310,,,
,15,,,,CIPROTERONA + ETINILESTRADIOL 2MG/.035MG C/21 GRAGEAS ,1522,,,
,15,,,,ESTOLATO DE ERITROMICINA 500MG C/20 TAB.,1905,,,
,20,,,,ESTRADIOL + TRIMEGESTONA CONTINUO 1MG/.125MG C/28 GRAGEAS,842,,,
,14,,,,CLORHIDRATO DE BETAXOLOL 2.5GR SUSP OFT.  C/5ML,121,,,
,14,,,,TRITICUM VULGARE FENOXIETANOL CREMA UNGUENTO C/30GR,1258,,,
,7,,,,CLORHIDRATO DE METILFENIDATO 36MG C/30TAB. (II),228,,,
,10,,,,CLORHIDRATO DE BIPERIDENO 2MG C/30 TAB.,2798,,,
,14,,,,ESPIRONOLACTONA 25MG C/30 TAB.,2572,,,
,15,,,,ACIDO ACETILSALICILICO 500MG C/20 TAB.,2768,,,
,14,,,,TEGASEROD 6MG C/30 COMP.,912,,,
,14,,,,AZILSARTAN MEDOXOMILO 80MG C/28 TAB.,2947,,,
