,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
SERVICIOS MEDICOS DE EMERGENCIAS ,,,,,,,,,,,,
SME-010110-DB7,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,FECHA:,,,,,,
,26,0,0,2015-01-13,TELMISARTAN 40MG C/28 TAB.,968,,,,,,
,24,0,0,2015-01-13,TELMISARTAN 80MG C/ 28 TAB.,2575,,,,,,
,4,0,0,2015-01-13,TERAZOSINA 5MG C/30 TAB.,9,,,,,,
,22,0,0,2015-01-13,TIAMINA + PIRIDOXINA + CIANOCOBALAMINA Y DICLOFENACO SODICO NO.1 - 3 Y NO. - 3 C/JGA AMP.,2803,,,,,,
,14,0,0,2015-01-13,TIAMINA+PIRIDOXINA + DEXAMETASONA + CIANOCOBALAMINA + LIDOCAINA NO.1 - 3 Y NO. - 3 C/JGA AMP.,2809,,,,,,
,6,0,0,2015-01-13,TRAMADOL + PARACETAMOL 37.5/325MG C/20 TAB.,836,,,,,,
,304,0,0,2015-01-13,TRAMADOL + PARACETAMOL 37.5/325MG C/20 TAB.,836,,,,,,
,5,0,0,2015-01-13,TRIAMCINOLONA 56.10MG SUSP. FCO C/16.5ML,610,,,,,,
,9,0,0,2015-01-13,TRIAZOLAM 0.250MG C/30 TAB.,582,,,,,,
,17,0,0,2015-01-13,TRIBENOSIDO + LIDOCAINA TUBO C/30GR,680,,,,,,
,14,0,0,2015-01-13,TRIMEBUTINA 200MG C/40 TAB.,330,,,,,,
,2,0,0,2015-01-13,TRINITRATO DE GLICERILO 18MG x PARCHE (5MG/24 Hrs C/7),2143,,,,,,
,5,0,0,2015-01-13,TRINITRATO DE GLICERILO 36MG x PARCHE (10MG/24 hrs C/7),2144,,,,,,
,2,0,0,2015-01-13,TRITICUM VULGARE FENOXIETANOL CREMA UNGUENTO C/30GR,1258,,,,,,
,13,0,0,2015-01-13,TROXERUTINA + CUMARINA 180MG/30MG C/30 GRAGEAS,1075,,,,,,
,8,0,0,2015-01-13,VALPROATO DE MAGNESIO 200MG C/40 TAB.,2838,,,,,,
,6,0,0,2015-01-13,VALPROATO DE MAGNESIO 500MG C/20 TAB.,37,,,,,,
,6,0,0,2015-01-13,VALPROATO DE MAGNESIO 600MG C/30 TAB.,38,,,,,,
,7,0,0,2015-01-13,VALPROATO SEMISODICO 500MG LIB. RET. C/30 COMP.,337,,,,,,
,8,0,0,2015-01-13,VALPROATO SEMISODICO ER 500MG LIB. PROL. C/30 TAB.,2193,,,,,,
,33,0,0,2015-01-13,VALSARTAN + AMLODIPINO 160/5MG C/28 TAB.,1924,,,,,,
,6,0,0,2015-01-13,VALSARTAN + HIDROCLORTIAZIDA 160MG/25MG C/30 GRAGEAS,233,,,,,,
,29,0,0,2015-01-13,VALSARTAN 160MG C/30 GRAGEAS,1767,,,,,,
,13,0,0,2015-01-13,VENLAFAXINA 75MG C/20 CAP.,602,,,,,,
,2,0,0,2015-01-13,VILDAGLIPTINA + METFORMINA 50MG/850MG C/60 COMP.,2924,,,,,,
,5,0,0,2015-01-13,VITAMINAS + HIERRO C/36 TAB.,111,,,,,,
,34,0,0,2015-01-13,VITAMINAS + MINERALES PRENATALES C/30 TAB.,1678,,,,,,
,14,0,0,2015-01-13,VITAMINAS PRENATALES C/28 CAP.,1754,,,,,,
