FORMATO DE REQUISICI…N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,27-oct-16,,,
,50,,,,LEVOTIROXINA SODICA + LIOTIRONINA 100MCG/20MCG C/50 TAB.,622,,,
,50,,,,BUDESONIDA 0.250MG/ML NEBUL. C/5 AMP. SOBRE 2ML,719,,,
,50,,,,CLORHIDRATO DE IMIPRAMINA 25MG C/20 TAB.,2367,,,
,50,,,,TRIBENOSIDO + LIDOCAINA TUBO C/30GR,680,,,
,50,,,,DILTIAZEM 90MG C/20 TAB.,28,,,
,50,,,,PLANTAGO OVATA + SENNA ANGUSTIFOLIA 2.71 GR/0.62 GR FCO. GRANULADO C/100GR,11,,,
,50,,,,CLOPIDOGREL 75MG C/28 TAB.,692,,,
,50,,,,NEOMICINA + CAOLIN + PECTINA 129MG/280MG C/20 TAB.,459,,,
,50,,,,GEMFIBROZILO 600MG C/14 TAB.,945,,,
,50,,,,AMINOFENAZONA + BUFENINA + DIFENILPIRALI C/20 CAP.,363,,,
,50,,,,ACETONIDO DE FLUOCINOLONA + POLIMIXINA B + NEOMICINA + LIDOCAINA SOL. OTICAS FCO. C/15ML,775,,,
,50,,,,PROPRANOLOL 10MG C/50 TAB.,3029,,,
,50,,,,ACICLOVIR 400MG C/35 COMP.,545,,,
,50,,,,CLARITROMICINA 250MG SUSP. PED. FCO. C/60ML GRANULOS,467,,,
,50,,,,KETOCONAZOL POLVO TALCO FCO. C/60GR,191,,,
,50,,,,OXCARBAZEPINA 300MG C/20 GRAGEAS,833,,,
,50,,,,CITRATO DE TAMOXIFENO 20MG C/15 TAB.,625,,,
,50,,,,LATANOPROST 0.005% SOL. OFT. FCO. C/2.5ML,2862,,,
,50,,,,VALPROATO DE MAGNESIO 200MG C/40 TAB.,2838,,,
,50,,,,DILTIAZEM 120MG LIB. PROL. C/20 TAB.,2817,,,
,50,,,,CLORHIDRATO DE AMIODARONA 200MG C/20 TAB.,2795,,,
,50,,,,ATENOLOL 100MG C/28 TAB.,849,,,
,50,,,,DOXICICLINA 100MG C/10 CAP.,283,,,
,50,,,,TRIMEBUTINA 2GR/100ML SUSP. JUNIOR FCO C/100ML,218,,,
,50,,,,BIFONAZOL TUBO CREMA C/20GR,1271,,,
,50,,,,CLOTRIMAZOL 20GR CREMA C/3 APLICADORES,334,,,
,50,,,,ACETONIDO DE FLUOCINOLONA + NISTATINA + METRONIDAZOL C/10 OVULOS,53,,,
,50,,,,CLARITROMICINA 500MG C/10 TAB.,2092,,,
,50,,,,ITRACONAZOL 100MG C/15 CAP.,443,,,
,50,,,,AMPICILINA 500MG C/20 CAP.,2565,,,
,50,,,,FLUCONAZOL 100MG C/10 CAP.,361,,,
,50,,,,LIDOCAINA + HIDROCORTISONA TUBO UNG. C/20GR y APLICADOR,2808,,,
,50,,,,ESPIRONOLACTONA 25MG C/30 TAB.,2572,,,
,50,,,,AMOXICILINA 250MG SUSP. C/75ML,24,,,
,50,,,,HIERRO ACIDO FOLICO C/30 GRAGEAS,2823,,,
,50,,,,DICLOXACILINA 250MG SUSP. FCO. C/60ML,1509,,,
,50,,,,YODOPUVIDONA BUCOFARINGEO SOL. FCO. C/120ML ,793,,,
,50,,,,"ACIDO ASCORBICO + VITAMINA A + ERGOCALCIFERO VIT. A,C,D SOL. GOTAS C/15ML",2770,,,
,50,,,,INDOMETACINA 25MG C/30 CAP.,437,,,
,50,,,,BENCIPENICILINA BENZATANICA 12000000 UI SOL INY,128,,,
,50,,,,AMOXICILINA 500MG SUSP. C/75ML ,2945,,,
,50,,,,CEFALEXINA 250MG/5ML SUSP.,1483,,,
,50,,,,CLOTRIMAZOL 10MG TUBO CREMA C/20GR,1505,,,
,50,,,,FUROSEMIDA 40MG C/20 TAB.,369,,,
,50,,,,ACICLOVIR TUBO CREMA C/5GR,2607,,,
,50,,,,AMOXICILINA/ACIDO CLAVULANICO 200MG/285MG/5ML FCO. C/40ML,1852,,,
,50,,,,CAPTOPRIL 25MG C/30 TAB.,2569,,,
,50,,,,OXIDO DE ZINC TUBO CREMA C/30GR,665,,,
,50,,,,CISAPRIDA FCO C/60ML,691,,,
,50,,,,PROPRANOLOL 20MG C/24 TAB.,2976,,,
,50,,,,ALBENDAZOL 200MG C/2 TAB.,957,,,
,45,,,,LEVODOPA + CARBIDOPA + ENTACAPONA 200MG/100MG/25MG C/30 TAB.,564,,,
,45,,,,PROPRANOLOL 40MG C/30 TAB.,783,,,
,45,,,,CLORANFENICOL 5MG/ML GOTAS OFT. C/15ML ,2726,,,
,44,,,,DIMETICONA GOTAS C/30ML,323,,,
,40,,,,RIVASTIGMINA 4.6MG C/30 PARCHES,1746,,,
,40,,,,MOXIFLOXACINO + DEXAMETASONA SOL. OFT. GOTAS FCO C/5ML,2923,,,
,40,,,,MICOFENOLATO DE MOFELITO 500MG C/50 TAB.,1648,,,
,40,,,,TRAVOPROST 40MCG SOL. OFT. FCO. C/2.5ML,830,,,
,40,,,,CEFIXIMA DE 200MG C/12 CAP.,1335,,,
,40,,,,PRUCALOPRIDA 2MG C/14 COMP.,2930,,,
,40,,,,ISOTRETINOINA 10MG C/30 CAP.,2412,,,
,40,,,,CLOBETASOL 0.044GR TUBO C/40GR,1238,,,
,40,,,,RESINA DE COLESTIRAMINA 9GR C/10 SOBRES,722,,,
,40,,,,HIDROCORTISONA 1GR/100ML FCO. LOCION C/120ML,624,,,
,40,,,,ALMOTRIPTAN 12.5MG C/2 COMP.,2942,,,
,40,,,,AZILSARTAN MEDOXOMILO 80MG C/28 TAB.,2947,,,
,40,,,,NIMODIPINO 30MG C/30 TAB.,470,,,
,40,,,,"PANCREATINA + LIPASA + AMILASA + PROTEASA 10,000UI C/50 CAP.",193,,,
,40,,,,BETAMETASONA LOCION CAPILAR FCO. C/50ML,120,,,
,40,,,,ENANTATO DE PRASTERONA + VALERATO DE ESTRADIOL 200MG/4MG C/1 JER. PRELLENADA DE 1ML,138,,,
,40,,,,HIDROXOCABALAMINA TIAMINA PIRIDOXINA C/5 AMP. Y JER.,2861,,,
,40,,,,CIPROFLOXACINO + HIDROCORTISONA + LIDOCAINA SOL. OTICA GOTAS,2789,,,
,40,,,,PEROXIDO DE BENZOILO 5% TUBO GEL C/60GR,116,,,
,40,,,,VALPROATO DE MAGNESIO 400MG C/20 TAB.,71,,,
,40,,,,LEVOCETIRIZINA GOTAS C/10ML,2736,,,
,40,,,,BROMURO DE PIRIDOSTIGMINA 60MG C/20 TAB.,531,,,
,40,,,,ACICLOVIR 200MG/5ML FCO. C/120ML,501,,,
,40,,,,PERMETRINA EMULSION C/120 APLICACIONES,2481,,,
,40,,,,DIMENHIDRINATO JARABE FCO. C/120ML,284,,,
,40,,,,DILTIAZEM 30MG C/30 COMPS.,2857,,,
,40,,,,TERAZOSINA 2MG ENV. C/20 TAB.,837,,,
,40,,,,ACIDO RETINOICO TUBO CREMA C/20GR,1432,,,
,40,,,,ACIDO MEFENAMICO 500MG C/20 TAB.,2773,,,
,40,,,,CLORTALIDONA 50MG C/20 TAB.,182,,,
,35,,,,VALPROATO DE MAGNESIO 600MG C/30 TAB.,38,,,
,35,,,,CLINDAMICINA SOL. TOPICA FCO C/30ML,261,,,
,35,,,,DILTIAZEM 60MG C/30 COMPS.,82,,,
,35,,,,ALPRAZOLAM 0.50MG C/30 TAB. (II),2779,,,
,35,,,,AMITRIPTILINA 25MG C/50 TAB.,84,,,
,35,,,,CIPROFLOXACINO SOL. OFT. GOTAS C/5ML,1493,,,
,35,,,,PANCREATINA+ESTRACTO SECO BILIS BUEY+DIMETILPOLISILOXANO 130/50/40/MG C/30 GRAGEAS,3014,,,
,35,,,,CLORANFENICOL + HIDROCORTISONA + BENZOCAINA SOL. OTICA FCO. C/10ML,2794,,,
,35,,,,CALAMINA LOCION FCO. 180ML,160,,,
,30,,,,ETANERCEPT 25MG FCO. C/4 AMP.,349,,,
,30,,,,LIRAGLUTIDE 0.6MG FLEXPEN,2969,,,
,30,,,,LINACLOTIDE .29MG C/30 CAP.,3023,,,
,30,,,,RIVAROXABAN 20MG C/28 COMP.,2937,,,
,30,,,,DESVENLAFAXINA 50MG C/28 COMP.,2905,,,
,30,,,,GLICOPIRRONIO + INDACATEROL C/30 CAP. INHALACIAN,3017,,,
,30,,,,INSULINA ASPARTICA ADN RECOM 100UI/1ML 3ML C/5 CARTUCHO,1211,,,
,30,,,,SALMETEROL + FLUTICASONA 50MCG/500MG FCO. C/60 DOSIS,2738,,,
,30,,,,ATOMOXETINA 25MG C/14 CAP.,794,,,
,30,,,,BUDESONIDA + FORMOTEROL 320MG/9MCG C/60 DOSIS (POLVO),802,,,
,30,,,,CARVEDILOL 25MG C/14 TAB.,2594,,,
,30,,,,ESTRADIOL + DROSPIRENONA 1MG/2MG C/28 COMPS. RECUB.,1375,,,
,30,,,,EPINASTINA 0.05% SOL. FCO. GOTERO C/5ML,2427,,,
,30,,,,LIOFILIZADO ESTANDARIZADO DE LISADOS BACTERIANOS CAPSULAS ADULTOS 7MG C/10 CAP.,1795,,,
,30,,,,INDOMETACINA 50MG C/28 CAP.,525,,,
,30,,,,LIOFILIZADO ESTANDARIZADO DE LISADO BACTERIANOS INFANTIL 3.5MGS. C/10 CAP.,135,,,
,30,,,,SULFATO DE AMANTADINA 100MG C/30 TAB.,703,,,
,30,,,,MOMETASONA 1% UNGUENTO TOPICO TUBO C/30GR,319,,,
,30,,,,CLEBOPRIDA 500MG C/30 COMP.,2914,,,
,30,,,,AZATIOPRINA 50MG C/50 TAB.,51,,,
,30,,,,TRINITRATO DE GLICERILO 36MG x PARCHE (10MG/24 hrs C/7),2144,,,
,30,,,,CLINDAMICINA + KETOCONAZOL 800/100MG C/3 TAB. VAGINALES,1029,,,
,30,,,,ALPRAZOLAM 1MG C/30 COMP. (II),1448,,,
,30,,,,ERDOSTEINA 300MG C/20 CAP.,1820,,,
,30,,,,INSULINA HUMANA 70/30 CARTUCHO C/300U C/2X3ML,427,,,
,30,,,,BETAMETASONA + GENTAMICINA TUBO CREMA C/30GR,276,,,
,30,,,,POLIETILENGLICOL + BICAR. SODICO + CL SODIO + CL DE POTASIO POLVO 109.6GR C/4 SOBRES,623,,,
,30,,,,TRITICUM VULGARE FENOXIETANOL CREMA UNGUENTO C/30GR,1258,,,
,30,,,,L-ORNITINA + L-ASPARTATO 3GR C/10 SOBRES GRANULADOS,432,,,
,30,,,,EMOLIENTE Y HUMECTANTE CON UREA AL 10% LOCION FCO. C/120ML,648,,,
,30,,,,SUPLEMENTO DE AMINOACIDOS Y CALORIAS POLVO SOBRE C/110GR,1733,,,
,30,,,,SOL. ESTERILIZANTE + ANTISEPTICA DE SUPEROXIDACION FCO. C/240ML,1310,,,
,30,,,,PENTOXIFILINA 400MG C/30 GRAGEAS,669,,,
,30,,,,RANITIDINA 150MG JARABE FCO. C/200ML,1494,,,
,30,,,,ACIDO ASCORBICO + VITAMINA + VITAMINA C 1GR C/10 TAB.,2772,,,
,30,,,,OXCARBAZEPINA 600MG C/20 GRAGEAS,1724,,,
,30,,,,LEVONORGESTREL + ETINILESTRADIOL 0.15MG/.03MG C/21 GRAGEAS,2693,,,
,30,,,,PREDNISONA 20MG C/30 TAB.,642,,,
,30,,,,AMANTADINA + CLORFENAMINA + PARACETAMOL + FENILEFRINA SOL. FCO. C/60ML,2780,,,
,30,,,,CISAPRIDA 10MG C/30 TAB.,177,,,
,30,,,,ALBENDAZOL 20MG/ML SUSP. ORAL C/20ML,95,,,
,30,,,,SALBUTAMOL 40MG/100ML JARABE FCO. C/60ML,759,,,
,25,,,,SOMATROPINA 15MG PLUMA PRELLENADA C/1 DISPOSITIVO DE 1.5ML,3001,,,
,25,,,,LACOSAMIDA 100MG C/28 TAB.,2990,,,
,25,,,,LEVETIRACETAM SOL. 100MG C/150ML,2023,,,
,25,,,,NICERGOLINA 30MG C/20 GRAGEAS,767,,,
,25,,,,TERAZOSINA 5MG C/30 TAB.,9,,,
,25,,,,VALPROATO SEMISODICO 500MG LIB. RET. C/30 COMP.,337,,,
,25,,,,BIMATOPROST GOTAS 0.03% SOL. OFT. C/3ML,1058,,,
,25,,,,TIZANIDINA 6MG LIB. PROL. C/10 CAP.,2979,,,
,25,,,,PARACETAMOL + CODEINA 500MG/30MG C/30 CAP. (II),596,,,
,25,,,,HIDROSMINA 200MG C/20 CAP.,1730,,,
,25,,,,ISOCONAZOL TUBO CREMA C/40GR Y 7 APLICADORES,433,,,
,25,,,,ALLIUM CEPAE + ALANTOINA TUBO GEL C/20GR,528,,,
,25,,,,TESTOSTERONA 250MG/1ML C/1 AMP.,2882,,,
,25,,,,NIFEDIPINO 20MG LIB. PROL. C/28 COMP.,8,,,
,25,,,,SILIMARINA 70MG C/20 COMP.,2151,,,
,25,,,,VALPROATO DE MAGNESIO 500MG C/20 TAB.,37,,,
,25,,,,ERDOSTEINA SOL. C/90ML,2963,,,
,25,,,,MEDROXIPROGESTERONA 10MG C/10 TAB.,1555,,,
,25,,,,ACETATO DE CALCIO + SULFATO DE ALUMINIO C/12 SOBRES,280,,,
,25,,,,ONDANSETRON 8MG C/10 TAB.,2843,,,
,25,,,,ESTOLATO DE ERITROMICINA 500MG C/20 TAB.,1905,,,
,25,,,,LIDOCAINA + HIDROCORTISONA + SUBACETATO C/12 SUP.,896,,,
,20,,,,LINEZOLID 600MG C/10 TAB.,1060,,,
,20,,,,SOMATROPINA 10MG PLUMA PRELLENADA C/1 DISPOSITIVO DE 1.5ML,3000,,,
,20,,,,EFAVIRENZ 600MG C/30 COMP.,1571,,,
,20,,,,BUPRENORFINA 30MG C/4 PARCHES (II),2758,,,
,20,,,,ESPIRONOLACTONA 100MG C/30 TAB.,2573,,,
,20,,,,DESVENLAFAXINA 100ML C/28 COMP.,2899,,,
,20,,,,BROMHIDRATO DE GALANTAMINA 8MG C/14 CAP.,1587,,,
,20,,,,TEGASEROD 6MG C/30 COMP.,912,,,
,20,,,,PRAMIPEXOL 0.5MG C/30 TAB.,2411,,,
,20,,,,DIPROPINATO DE BETAMETASONA + CALCIPOTRIOL 5MG/50MG TUBO UNGUENTO C/30GR,1026,,,
,20,,,,ESTRADIOL + TRIMEGESTONA CONTINUO 1MG/.125MG C/28 GRAGEAS,842,,,
,20,,,,BROMURO DE IPRATROPIO 20MCG SUSP. AEROSOL C/200 DOSIS EN 10ML,62,,,
,20,,,,BIMATOPROST + TIMOLOL 0.03%/0.05% SOL. OFT. C/3ML,1793,,,
,20,,,,CLORMADINONA 5MG C/20 TAB.,494,,,
,20,,,,ATOMOXETINA 18MG C/14 CAP.,804,,,
,20,,,,MOXIFLOXACINO 400MG C/7 TAB.,86,,,
,20,,,,VALPROATO SEMISODICO ER 500MG LIB. PROL. C/30 TAB.,2193,,,
,20,,,,BACLOFENO 10MG C/100 TAB.,2980,,,
,20,,,,KETANSERINA + METRONIDAZOL + MICONAZOL 36MG C/10 OVULOS,2245,,,
,20,,,,METRONIDAZOL .75% TUBO GEL C/30GR,567,,,
,20,,,,ADAPALENE 1% CREMA C/30GR,1552,,,
,20,,,,BUDESONIDA + FORMOTEROL 80MG/4.5MCG SPRAY,1782,,,
,20,,,,REPAGLINIDA 2MG C/30 COMP.,1042,,,
,20,,,,CLONIXITATO DE LISINA + CICLOBENZAPRINA 125/5 C/20 TAB.,2307,,,
,20,,,,ETINILESTRADIOL + DROSPIRENONA 3MG 24/4 C/28 COMP.,2741,,,
,20,,,,ETAMSILATO 500MG C/20 COMP.,272,,,
,20,,,,FLUTICASONA 0.5MG/2ML C/10 AMP.,1069,,,
,20,,,,LEVOCETIRIZINA SOL. INFANTIL C/150ML,2735,,,
,20,,,,CEFUROXIMA 500MG C/10 TAB.,1488,,,
,20,,,,BRINZOLAMIDA 1% SUSP. OFT. FCO. C/5ML,46,,,
,20,,,,PREDNISOLONA 100MG SOL. FCO. C/100ML,388,,,
,20,,,,VERALIPRIDA 100MG C/20 CAP.,4,,,
,20,,,,FELODIPINO + METOPROLOL 5/47.5MG C/14 TAB.,1176,,,
,20,,,,MESALAZINA 1GR C/30 SOBRES GRANULADOS,1526,,,
,20,,,,LUTENIA + ZEAXANTINA SUPLEMENTO ALIMENTICIO DE LIB PROLONGADA 57GR C/60 TAB.,926,,,
,20,,,,DIPROPIONATO DE BETAMETASONA Y FOSFATO D 5MG/2MG JER. PRELLENADA DE 1ML,2851,,,
,20,,,,SERENOA REPENS 160MG C/40 CAP.,860,,,
,20,,,,ITRACONAZOL + SECNIDAZOL C/12 CAP.,1370,,,
,20,,,,ESTRADIOL + NORGESTREL 2MG/0.5MG C/21 GRAGEAS (11 BLANCAS Y 10 COLOR),682,,,
,20,,,,FLUNARIZINA 10MG C/20 TAB.,607,,,
,20,,,,FLUTICASONA 250MCG FCO. PRESURIZADO C/60 DOSIS,360,,,
,20,,,,RISPERIDONA 1MG/ML SOL. FCO. C/60ML,2139,,,
,20,,,,OXIMETAZOLINA + HIALURONATO DE SODIO OFTENO 1MG/0.125GR/0.5ML C/20 AMP.,1248,,,
,20,,,,OXIBUTININA 100MG/100ML FCO C/120ML,614,,,
,20,,,,PIROXICAM 10MG C/20 CAP.,1079,,,
,20,,,,VERAPAMILO 180MG C/15 TAB.,275,,,
,20,,,,RIMANTADINA 100MG C/14 CAP.,2393,,,
,20,,,,FLOROGLUCINOL + TRIMETILFLOROGLUCINOL 80MG/80MG C/20 CAP.,2840,,,
,20,,,,ACIDO VALPROICO 250MG C/30 CAP.,264,,,
,20,,,,VERAPAMILO 40MG C/30 TAB.,274,,,
,20,,,,DOMPERIDONA SUSP. C/60ML,1011,,,
,20,,,,PERMETRINA  5% SHAMPOO C/60ML,641,,,
,20,,,,WARFARINA SODICA 5MG C/30 TAB.,196,,,
,20,,,,MALEATO DE TIMOLOL SOL. OFT. 5% C/15ML,451,,,
,20,,,,DROPROPIZINA JARABE C/120ML,2230,,,
,20,,,,CLEBOPRIDA JBE. FCO. C/90ML,2671,,,
,20,,,,HALOPERIDOL 10MG C/20 TAB.,1421,,,
,20,,,,CLORHIDRATO DE BIPERIDENO 2MG C/30 TAB.,2798,,,
,20,,,,FLAVOXATO 200MG C/20 GRAGEAS,123,,,
,20,,,,SUCRALFATO 1GR C/40 TAB.,2653,,,
,20,,,,DIMENHIDRINATO 50MG C/20 TAB.,2652,,,
,20,,,,DINITRATO DE ISOSORBIDA 5MG C/20 TAB.,2859,,,
,20,,,,PREDNISONA 50MG C/20 TAB.,689,,,
,20,,,,HIDRALAZINA 10MG C/20 TAB.,2756,,,
,20,,,,HIERRO DEXTRAN 100MG/2ML SOL. INY. C/3 AMP.,425,,,
,20,,,,CALCIO 500MG ENV. C/12 COMP.,209,,,
,20,,,,CINARIZINA 75MG ENV. C/60 TAB.,237,,,
,20,,,,ACICLOVIR COMPRIMIDOS 200MG C/25 COMP.,1424,,,
,20,,,,SECNIDAZOL 500MG C/8 COMP.,553,,,
,20,,,,MECLIZINA + PIRIDOXINA + LIDOCAINA C/1 AMP.,2841,,,
,20,,,,DICLOXACILINA 250MG C/20 CAP.,85,,,
,20,,,,COLCHICINA 1MG C/20 TAB.,185,,,
,20,,,,KETOCONAZOL 200MG C/10 TAB.,2625,,,
,20,,,,MECLIZINA + PIRIDOXINA SOL. GOTAS FCO. C/10ML,2634,,,
,20,,,,METRONIDAZOL 500MG C/30 COMP.,2865,,,
,15,,,,EMTRICITABINA + TENOFOVIR DISOPROXIL FUMARATO C/30 TAB.,854,,,
,15,,,,QUETIAPINA 300MG C/30 TAB. LIB PROL.,2353,,,
,15,,,,OLANZAPINA 10MG C/14 TAB. DISPERSABLES,916,,,
,15,,,,DECANOATO DE FLUPENTIXOL 20MG C/1 AMP. DE 2ML (III),580,,,
,15,,,,TRAVOPROST + TIMOLOL .04MG/1.0ML FCO.GOTERO C/2.5ML,2560,,,
,15,,,,PREDNISOLONA 3.0MG/ML SOL. PED. C/120ML,1099,,,
,15,,,,CLORHIDRATO DE METILFENIDATO 36MG C/30TAB. (II),228,,,
,15,,,,ATOMOXETINA 60MG C/14 CAP.,966,,,
,15,,,,GLIBENCLAMIDA + METFORMINA 5MG/1000MG C/40 TAB.,790,,,
,15,,,,CLORHIDRATO DE BETAXOLOL 2.5GR SUSP OFT.  C/5ML,121,,,
,15,,,,CIPROFLOXACINO + DEXAMETASONA 3MG/1MG/ML FCO. C/5ML,2697,,,
,15,,,,KETANSERINA + BENZOCAINA 2% TUBO GEL C/78GR,798,,,
,15,,,,OXCARBAZEPINA 60MG/1ML SUSP. C/100ML,1033,,,
,15,,,,CINOSTAZOL 100MG C/30 TAB.,2949,,,
,15,,,,PIPERIDOLATO 100MG C/30 GRAGEAS,258,,,
,15,,,,INDACATEROL 150MG C/30 CAP.,2918,,,
,15,,,,NEPAFENACO 1.0MG SOL. OFT. GOTAS C/5ML,2072,,,
,15,,,,ACIDO POLIACRILICO GEL OFTALMICO TUBO C/10GR,879,,,
,15,,,,ATOMOXETINA 10MG C/14 CAP.,1034,,,
,15,,,,PEROXIDO DE BENZOILO 10% TUBO GEL C/60GR,115,,,
,15,,,,ACIDO ACEXAMICO + NEOMICINA UNGUENTO 5GR/0.4GR EN 100GR TUBO C/40GR,727,,,
,15,,,,ACIDO ASCORBICO 500MG C/100 TAB.,175,,,
,15,,,,BROMAZEPAM 3MG C/30 TAB.,588,,,
,15,,,,DEXAMETASONA + FENILEFRINA SOL. OFT. FCO. C/10ML,1506,,,
,15,,,,FORMULA LACTEA DE TERMINO DE 0 A 6 (ETAPA 1) LATA C/350GR,2739,,,
,15,,,,NORFLOXACINO 400MG C/20 GRAGEAS,633,,,
,15,,,,CEFUROXIMA 250MG/5ML SUSP. C/50ML,2615,,,
,15,,,,TOLNAFTATO 1% SOL. FCO C/20ML,824,,,
,15,,,,TEOFILINA 100MG C/20 CAP.,2831,,,
,15,,,,NORFENILEFRINA SOL. GOTAS FCO. C/24ML,2,,,
,15,,,,CLORHIDRATO DE BENCIDAMINA 45MG SOL. C/30ML,2668,,,
,15,,,,MICONAZOL 400MG C/3 OVULOS,1904,,,
,15,,,,CLIOQUINOL TUBO CREMA 30GR,2791,,,
,15,,,,FENITOINA SODICA SUSP. C/237ML,2833,,,
,15,,,,ACIDO ACETILSALICILICO 500MG C/20 TAB.,2768,,,
,15,,,,TRIMETOPRIMA + SULFAMETOXAZOL 40MG/200MG/5MG SUSP. FCO. C/120ML,2631,,,
,15,,,,METRONIDAZOL 5GR SUSP. C/120ML,1453,,,
,15,,,,CLINDAMICINA 300MG C/2ML AMP.,238,,,
,10,,,,FINGOLIMOD 0.5MG C/28 CAP.,2925,,,
,10,,,,LOPINAVIR + RITONAVIR 200MG/50MG C/120 TAB.,1759,,,
,10,,,,EPLERENONA 25MG C/30 TAB.,445,,,
,10,,,,IMIQUIMOD SOBRES 250MG AL 5% C/12 SOBRES,15,,,
,10,,,,APIXABAN 2.5MG C/60 TAB.,3019,,,
,10,,,,ROTIGOTINA 6MG C/14 PARCHES,2978,,,
,10,,,,ANFEBUTAMONA 150MG LIB. PROL. C/30 TAB.,891,,,
,10,,,,OLANZAPINA + FLUOXETINA 6/25MG C/14 CAP.,1180,,,
,10,,,,BROMURO DE TIOTROPIO C/30 CAP. + DISPOSITIVO DOSIFICADOR,2878,,,
,10,,,,ARIPIPRAZOL 15MG C/10 TAB.,50,,,
,10,,,,MODAFINILO 200MG C/14 TAB.,2614,,,
,10,,,,OLOPATADINA 0.2% SOL. OFT. C/2.5ML,666,,,
,10,,,,ATOMOXETINA 40MG C/14 CAP.,807,,,
,10,,,,PARECOXIB SODICO 40MG/2ML INY. C/2 AMP.,1481,,,
,10,,,,PIRACETAM 800MG C/30 TAB.,971,,,
,10,,,,CITICOLINA 500MG C/10 COMP.,2632,,,
,10,,,,MOXIFLOXACINO 0.5% SOL. OFT. FCO C/5ML,880,,,
,10,,,,FLUVOXAMINA 100MG C/15 GRAGEAS,516,,,
,10,,,,VERAPAMILO + TRANDOLAPRIL 180MG/2MG LIB. PROL. C/15 TAB.,1567,,,
,10,,,,TICAGRELOR 90MG C/30 TAB.,3016,,,
,10,,,,BUDESONIDA 3MG C/50 CAP.,2904,,,
,10,,,,MIRTAZAPINA 30MG C/12 TAB. DISP.,740,,,
,10,,,,HIDROQUINONA SILICATO DE MAGNESIO 4% TUBO CREMA C/30GR,1091,,,
,10,,,,FLUOCINULON ACETONIDA Y HIDROQUINONA + TITRTINOINA 4%/.05% CREMA C/15GR ,1285,,,
,10,,,,ISOCONAZOL 600MG C/1 OVULO,434,,,
,10,,,,HIALUNARATO DE SODIO 4.0MG D.U. C/20 ENVASES DE 0.5ML,1112,,,
,10,,,,CALCITRIOL CREMA UNGUENTO TUBO 0.3MG C/30GR,1268,,,
,10,,,,ORFENADRINA + PARACETAMOL 35MG/450MG C/50 TAB.,620,,,
,10,,,,LIDOCAINA + PRILOCAINA CREMA C/30GR.,1210,,,
,10,,,,AZELASTINA SOL. OFT. 0.05% FCO. C/5ML,61,,,
,10,,,,LACTULOSA + PARAFINA LIQUIDA + PARAFINA BLANCA GEL ORAL FCO. C/150GR,2968,,,
,10,,,,DIGOXINA 0.25MG C/60 TAB.,2816,,,
,10,,,,GALANTAMINA ER 16MG C/14 CAP.,2966,,,
,10,,,,CLINDAMICINA 75MG/5ML FCO. GRANULADO PARA 100ML,260,,,
,10,,,,GLICERINA + POLISORBAPO 1%/80al1% SOL. OFT. C/20 ENVASES UNIDOSIS DE 0.4ML,2251,,,
,10,,,,FLUTICASONA 50MCG SPRAY C/120 DOSIS ,2491,,,
,10,,,,ACIDO ACEXAMICO 5GR/100GR UNGUENTO TUBO C/40GR,726,,,
,10,,,,DILTIAZEM 240MG C/10 TAB.,103,,,
,10,,,,FLEET FOSFOSODA SOL. ORAL C/45ML,2965,,,
,10,,,,CLORMADINONA 2MG C/20 TAB.,493,,,
,10,,,,TESTOSTERONA + ESTRADIOL 100MG/5MG C/1 JER. PRELLENADA,266,,,
,10,,,,NAN H A 1 FORMULA LACTEA HIPOALERGENICA BIFIDUS LATA PVO. C/400GR,608,,,
,10,,,,CLORHIDRATO AMITRIPTILINA + DIAZEPAM + PERFENACINA 10MG/3MG/2MG C/30 TAB.,574,,,
,10,,,,SULFADIACINA DE PLATA MICRONIZADA 1% CREMA TUBO C/30GR,67,,,
,10,,,,CARBONATO DE LITIO 300MG C/50 TAB.,243,,,
,10,,,,CLORMADINONA + MESTRANOL 2MG/80MCG C/21 TAB.,764,,,
,10,,,,DIAZEPAM 10MG C/20 COMP. (II),598,,,
,10,,,,PERFENAZINA 4MG C/30 TAB.,587,,,
,10,,,,VALPROATO DE MAGNESIO 200MG/1ML SUSP. FCO C/40ML,2839,,,
,10,,,,CLORURO DE SODIO 5% SOL OFT. FCO. 10ML,416,,,
,10,,,,POLICRESULENO 0.09 GR C/6 OVULOS,12,,,
,10,,,,CLORURO DE SODIO 5% UNGUENTO OFT. TUBO 5GR,417,,,
,10,,,,CLORURO DE SODIO 10% SOL OFT. FCO. 10ML,415,,,
,10,,,,"NISTATINA 2,400,000UI SUSP. FCO. C/24ML",2846,,,
,10,,,,NITROFURAL POMADA TUBO C/85GR,368,,,
,10,,,,"PENICILINA CLEMIZOL + BENCILPENICILINA SODICA 1,000,000UI + 1 AMP. DE DILUYENTE",26,,,
,10,,,,ERITROMICINA 250MG/5ML SUSP. C/100ML,2564,,,
,10,,,,CLORANFENICOL TUBO OFT. C/5GR,2674,,,
,10,,,,ACETONIDO DE FLUOCINOLONA TUBO C/30GR,511,,,
,10,,,,AMPICILINA 1GR I.M. C/1 AMP.,99,,,
,10,,,,FUROSEMIDA 20MG C/36 TAB.,484,,,
